,DIA,AÑO,SEMANA,MES,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL
453525,2017-11-05,2017,44,11,es,Albacete,Guadalajara,11.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453526,2017-11-12,2017,45,11,es,Albacete,Guadalajara,11.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453527,2017-11-19,2017,46,11,es,Albacete,Guadalajara,8.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453528,2017-12-01,2017,48,12,es,Albacete,Guadalajara,3.0,3,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453529,2017-12-10,2017,49,12,es,Albacete,Guadalajara,3.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453530,2017-12-12,2017,50,12,es,Albacete,Guadalajara,3.0,1,1,1,1,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453531,2017-12-22,2017,51,12,es,Albacete,Guadalajara,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453532,2018-01-07,2018,1,1,es,Albacete,Guadalajara,15.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453533,2018-01-09,2018,2,1,es,Albacete,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453534,2018-01-12,2018,2,1,es,Albacete,Guadalajara,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453535,2018-01-15,2018,3,1,es,Albacete,Guadalajara,10.0,2,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453536,2018-01-28,2018,4,1,es,Albacete,Guadalajara,5.0,4,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453537,2018-02-04,2018,5,2,es,Albacete,Guadalajara,16.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453538,2018-02-05,2018,6,2,es,Albacete,Guadalajara,5.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453539,2018-02-11,2018,6,2,es,Albacete,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453540,2018-02-13,2018,7,2,es,Albacete,Guadalajara,11.0,4,4,3,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
453541,2018-02-16,2018,7,2,es,Albacete,Guadalajara,4.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No
