Municipio,Fecha
Sevilla,30/05/2017
Sevilla,15/06/2017
Sevilla,18/04/2018
Sevilla,31/05/2018
Sevilla,08/05/2019
Sevilla,20/06/2019
Dos Hermanas,26/06/2017
Dos Hermanas,26/06/2018
Dos Hermanas,26/06/2017
Alcalá de Guadaíra,21/09/2017
Alcalá de Guadaíra,27/11/2017
Alcalá de Guadaíra,21/09/2018
Alcalá de Guadaíra,27/11/2018
Alcalá de Guadaíra,31/05/2019
Alcalá de Guadaíra,21/09/2019
Alcalá de Guadaíra,27/11/2019
Córdoba,08/09/2017
Córdoba,24/10/2017
Córdoba,08/09/2018
Córdoba,24/10/2018
Córdoba,09/09/2019
Córdoba,24/10/2019
Lucena,04/05/2017
Lucena,15/09/2017
Lucena,04/05/2018
Lucena,07/05/2018
Lucena,04/05/2019
Lucena,07/05/2019
Lucena,07/09/2019
Lucena,15/09/2019
Puente Genil,16/03/2017
Puente Genil,03/05/2017
Puente Genil,16/03/2018
Puente Genil,03/05/2018
Puente Genil,16/03/2019
Puente Genil,03/05/2019
Málaga,19/08/2017
Málaga,08/09/2017
Málaga,20/08/2018
Málaga,08/09/2018
Málaga,19/08/2019
Málaga,09/09/2019
Marbella,11/06/2017
Marbella,19/10/2017
Marbella,11/06/2018
Marbella,19/10/2018
Marbella,11/06/2019
Marbella,19/10/2019
Mijas,25/07/2017
Mijas,08/09/2017
Mijas,25/07/2018
Mijas,08/09/2018
Mijas,25/07/2019
Mijas,08/09/2019
Granada,15/06/2017
Granada,15/09/2017
Granada,02/01/2018
Granada,31/05/2018
Granada,02/01/2019
Granada,20/06/2019
Motril,03/05/2017
Motril,03/05/2018
Motril,03/05/2019
Almuñécar,19/03/2017
Almuñécar,19/03/2018
Almuñécar,19/03/2019
Almería,26/08/2017
Almería,26/12/2017
Almería,25/06/2018
Almería,25/08/2018
Almería,24/06/2019
Almería,24/08/2019
El Ejido,16/04/2017
El Ejido,28/06/2017
El Ejido,16/04/2018
El Ejido,28/06/2018
El Ejido,16/04/2019
El Ejido,28/06/2019
Roquetas del Mar,26/06/2017
Roquetas del Mar,07/10/2017
Roquetas del Mar,26/06/2018
Roquetas del Mar,26/06/2019
Roquetas del Mar,07/10/2019
Huelva,26/08/2017
Huelva,26/12/2017
Huelva,25/06/2018
Huelva,25/08/2018
Huelva,24/06/2019
Huelva,24/08/2019
Lepe,14/08/2017
Lepe,14/08/2018
Lepe,13/05/2019
Lepe,14/08/2019
Almonte,10/06/2017
Almonte,20/08/2017
Almonte,10/06/2018
Almonte,20/08/2018
Almonte,10/06/2019
Almonte,20/08/2019
Cádiz,27/02/2017
Cádiz,07/01/2017
Cádiz,12/02/2018
Cádiz,08/10/2018
Cádiz,04/03/2019
Cádiz,07/10/2019
Jerez de la Frontera,24/09/2017
Jerez de la Frontera,09/10/2017
Jerez de la Frontera,11/10/2017
Jerez de la Frontera,24/09/2018
Jerez de la Frontera,09/10/2018
Jerez de la Frontera,11/10/2018
Jerez de la Frontera,24/09/2019
Jerez de la Frontera,09/10/2019
Jerez de la Frontera,11/10/2019
Algeciras,26/06/2017
Algeciras,26/06/2018
Algeciras,16/07/2018
Algeciras,26/06/2019
Algeciras,16/07/2019
Jaen,18/10/2017
Jaen,25/11/2017
Jaen,11/06/2018
Jaen,18/10/2018
Jaen,11/06/2019
Jaen,15/10/2019
Andújar,26/04/2017
Andújar,13/09/2017
Andújar,26/04/2018
Andújar,13/09/2018
Andújar,26/04/2019
Andújar,29/04/2019
Andújar,9/09/2019
Andújar,13/09/2019
Linares,28/08/2017
Linares,28/08/2018
Linares,28/08/2019











