Municipio,Fecha
Albacete,25/06/2017
Albacete,08/09/2017
Albacete,25/06/2018
Albacete,08/09/2018
Albacete,25/06/2019
Albacete,08/09/2019
Hellín,03/05/2017
Hellín,24/10/2017
Hellín,03/05/2018
Hellín,24/10/2018
Hellín,03/05/2019
Hellín,24/10/2019
Villarrobledo,16/02/2017
Villarrobledo,17/08/2017
Villarrobledo,16/02/2018
Villarrobledo,17/08/2018
Villarrobledo,16/02/2019
Villarrobledo,17/08/2019
Almansa,04/05/2017
Almansa,03/09/2017
Almansa,04/05/2018
Almansa,03/09/2018
Almansa,04/05/2019
Almansa,03/09/2019
La Roda,14/02/2017
La Roda,06/08/2017
La Roda,14/02/2018
La Roda,06/08/2018
La Roda,14/02/2019
La Roda,06/08/2019
Ciudad Real,21/05/2017
Ciudad Real,22/08/2017
Ciudad Real,21/05/2018
Ciudad Real,22/08/2018
Ciudad Real,21/05/2019
Ciudad Real,22/08/2019
Puertollano,04/05/2017
Puertollano,08/09/2017
Puertollano,04/05/2018
Puertollano,08/09/2018
Puertollano,04/05/2019
Puertollano,08/09/2019
Tomelloso,25/08/2017
Tomelloso,31/08/2017
Tomelloso,25/08/2018
Tomelloso,31/08/2018
Tomelloso,25/08/2019
Tomelloso,31/08/2019
Alcázar de San Juan,08/09/2017
Alcázar de San Juan,28/12/2017
Alcázar de San Juan,08/09/2018
Alcázar de San Juan,28/12/2018
Alcázar de San Juan,08/09/2019
Alcázar de San Juan,28/12/2019
Valdepeñas,03/08/2017
Valdepeñas,08/09/2017
Valdepeñas,03/08/2018
Valdepeñas,08/09/2018
Valdepeñas,03/08/2019
Valdepeñas,08/09/2019
Cuenca,01/06/2017
Cuenca,21/09/2017
Cuenca,01/06/2018
Cuenca,21/09/2018
Cuenca,01/06/2019
Cuenca,21/09/2019
Tarancón,19/03/2017
Tarancón,08/09/2017
Tarancón,19/03/2018
Tarancón,08/09/2018
Tarancón,19/03/2019
Tarancón,08/09/2019
Quintanar del Rey,25/04/2017
Quintanar del Rey,15/05/2017
Quintanar del Rey,25/04/2018
Quintanar del Rey,15/05/2018
Quintanar del Rey,25/04/2019
Quintanar del Rey,15/05/2019
Guadalajara,08/09/2017
Guadalajara,14/09/2017
Guadalajara,08/09/2018
Guadalajara,14/09/2018
Guadalajara,08/09/2019
Guadalajara,14/09/2019
Azuqueca de Henares,15/05/2017
Azuqueca de Henares,17/09/2017
Azuqueca de Henares,15/05/2018
Azuqueca de Henares,17/09/2018
Azuqueca de Henares,15/05/2019
Azuqueca de Henares,17/09/2019
Alovera,24/01/2017
Alovera,07/09/2017
Alovera,24/01/2018
Alovera,07/09/2018
Alovera,24/01/2019
Alovera,07/09/2019
El Casar,05/02/2017
El Casar,03/09/2017
El Casar,05/02/2018
El Casar,03/09/2018
El Casar,05/02/2019
El Casar,03/09/2019
Cabanillas del Campo,02/02/2017
Cabanillas del Campo,04/05/2017
Cabanillas del Campo,02/02/2018
Cabanillas del Campo,04/05/2018
Cabanillas del Campo,02/02/2019
Cabanillas del Campo,04/05/2019
Toledo,23/01/2017
Toledo,02/04/2017
Toledo,23/01/2018
Toledo,02/04/2018
Toledo,23/01/2019
Toledo,02/04/2019
Talavera de la Reina,15/05/2017
Talavera de la Reina,08/09/2017
Talavera de la Reina,15/05/2018
Talavera de la Reina,08/09/2018
Talavera de la Reina,15/05/2019
Talavera de la Reina,08/09/2019
Illescas,12/03/2017
Illescas,31/08/2017
Illescas,12/03/2018
Illescas,31/08/2018
Illescas,12/03/2019
Illescas,31/08/2019
Seseña,15/05/2017
Seseña,16/08/2017
Seseña,15/05/2018
Seseña,16/08/2018
Seseña,15/05/2019
Seseña,16/08/2019
Torrijos,19/05/2017
Torrijos,01/09/2017
Torrijos,19/05/2018
Torrijos,01/09/2018
Torrijos,19/05/2019
Torrijos,01/09/2019
