Transporte urbano,Urbano por metro,Transporte urbano regular por autobús,Transporte interurbano regular,Interurbano por autobús regular,Interurbano por ferrocarril,AVE,Fecha
133592,52173,81419,70872,37668,28026,1262,2021M08
167137,66521,100616,81502,42893,34239,1358,2021M07
182190,72234,109955,81422,42493,35829,1080,2021M06
175821,69618,106203,77522,40846,34581,847,2021M05
160544,63799,96746,69359,36612,31420,584,2021M04
168829,67151,101678,72804,38704,32831,600,2021M03
140016,56264,83753,57617,31087,25622,405,2021M02
127812,54450,73362,52857,27379,24470,382,2021M01
150710,59821,90889,65072,34248,29395,478,2020M12
147444,57413,90031,63790,34561,28073,358,2020M11
158522,60708,97813,69690,37664,30234,428,2020M10
143362,55630,87732,66722,35702,28709,525,2020M09
107325,39723,67601,55440,29945,22067,571,2020M08
135105,52968,82137,65007,34740,27843,659,2020M07
106783,42717,64066,46187,24224,21245,279,2020M06
47803,19899,27903,20571,10825,9576,52,2020M05
22208,9520,12687,10160,5404,4678,6,2020M04
126030,51791,74239,59301,30398,27176,816,2020M03
270169,111814,158355,119722,61927,54159,1751,2020M02
265570,110737,154833,115431,60076,51704,1680,2020M01
256168,109101,147067,114328,57062,53279,1799,2019M12
275451,115919,159532,121477,61506,56035,1828,2019M11
298456,122955,175501,133766,68932,60265,2016,2019M10
255762,104300,151462,120128,63623,51356,1941,2019M09
184739,71088,113651,98912,53760,39167,1706,2019M08
243190,97349,145841,120202,63579,50909,2018,2019M07
259186,105832,153355,118815,61482,52253,2013,2019M06
278675,111830,166846,125092,63641,56923,2016,2019M05
254938,105016,149922,116141,58510,53108,1901,2019M04
278258,116626,161632,125869,62423,59260,1908,2019M03
255689,106077,149612,112964,57427,52133,1652,2019M02
261494,109548,151945,112582,57426,51652,1572,2019M01
250940,105524,145415,110100,53689,52588,1679,2018M12
269992,112255,157737,118319,59152,54634,1801,2018M11
284390,117517,166873,128165,64646,59104,1947,2018M10
245138,100477,144660,117494,59904,52693,1800,2018M09
182986,71577,111409,96523,51569,39386,1562,2018M08
234583,96302,138282,115100,59849,49907,1925,2018M07
257957,105551,152406,119380,60448,54277,1920,2018M06
271553,111488,160065,120601,60669,55593,1932,2018M05
261477,109345,152132,117000,57773,55098,1827,2018M04
258125,109034,149091,112745,56973,51838,1791,2018M03
244499,102893,141606,106975,53577,50208,1616,2018M02
252364,104128,148236,108381,55518,49592,1533,2018M01
237972,99442,138530,105656,51819,50238,1629,2017M12
263278,107466,155811,116049,58000,53738,1660,2017M11
268569,108967,159602,121644,61574,55963,1836,2017M10
242257,98404,143853,113867,58668,50630,1750,2017M09
180978,70033,110945,93280,50558,37481,1511,2017M08
226857,90273,136584,111528,58321,48154,1836,2017M07
253678,102455,151223,115452,59665,51434,1893,2017M06
268154,107614,160540,117633,60585,53107,1918,2017M05
234914,96916,137997,105746,53264,48566,1779,2017M04
275373,112182,163191,118587,60236,54911,1769,2017M03
241457,98759,142698,105473,53135,49554,1520,2017M02
239894,98850,141045,100044,51752,45451,1457,2017M01
240618,99490,141128,102884,52672,47119,1636,2016M12
254386,102783,151603,112605,57345,52143,1691,2016M11
259442,103000,156443,118410,60225,54541,1807,2016M10
243034,94985,148049,115091,60189,50667,1735,2016M09
175452,66401,109050,93614,51199,37367,1512,2016M08
217236,84430,132807,108732,57304,46643,1839,2016M07
243669,94433,149236,111100,57965,49091,1817,2016M06
254751,101716,153035,115038,58794,52506,1903,2016M05
252824,103015,149809,112972,57685,51917,1710,2016M04
240190,97982,142208,109495,55549,50531,1735,2016M03
235329,96186,139142,105629,54429,48418,1570,2016M02
226843,92816,134026,98512,51265,44527,1398,2016M01
238060,97842,140217,102269,52283,47040,1753,2015M12
248604,100850,147754,110946,56458,51647,1606,2015M11
258786,105408,153378,115419,59184,52843,1781,2015M10
230107,92825,137281,109294,57178,48257,1591,2015M09
164598,64382,100216,88599,47797,36110,1469,2015M08
219547,88525,131022,108769,57389,46924,1724,2015M07
235166,93912,141255,108072,56228,48250,1733,2015M06
246394,99067,147327,110015,56323,50440,1775,2015M05
235295,95915,139380,105141,53680,48187,1697,2015M04
246514,100812,145702,108418,55829,49648,1620,2015M03
223850,91534,132316,100063,50767,46873,1380,2015M02
225998,92456,133542,98763,50379,45958,1299,2015M01
232853,95767,137086,98307,50335,45253, ,2014M12
234979,95197,139781,106597,53719,50298, ,2014M11
262494,104734,157759,119375,59708,56537, ,2014M10
225012,90667,134345,108125,57134,47455, ,2014M09
156424,61885,94539,88785,48713,35467, ,2014M08
216573,86939,129633,105785,57619,44036, ,2014M07
226309,90310,135998,106392,55909,46897, ,2014M06
244580,97655,146925,109644,56664,49828, ,2014M05
228667,91666,137001,106606,53206,50213, ,2014M04
246402,100905,145497,108444,55924,49718, ,2014M03
224665,90648,134017,100919,51532,47090, ,2014M02
230063,92992,137071,101160,52158,46631, ,2014M01
225137,92479,132658,100349,50650,47052, ,2013M12
236479,95336,141143,106062,54200,49233, ,2013M11
259509,102237,157271,118543,60893,54593, ,2013M10
218202,86944,131258,103464,56492,43420, ,2013M09
156753,60926,95827,88997,49152,35489, ,2013M08
214517,84912,129604,108387,58796,45553, ,2013M07
228219,91362,136858,110596,58083,49030, ,2013M06
246600,98196,148404,113923,59582,51177, ,2013M05
246087,99218,146869,106834,58399,45469, ,2013M04
