,DIA,AÑO,SEMANA,MES,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL
18138,2019-08-28,2019,35,8,es,Sevilla,Granada,62.0,25,25,14,25,0,Andalucía,Andalucía,Sevilla,Granada,No
63116,2019-08-28,2019,35,8,es,Sevilla,Jerez de la Frontera,109.0,15,39,10,35,3,Andalucía,Andalucía,Sevilla,Cádiz,No
71260,2019-08-28,2019,35,8,es,Sevilla,Algeciras,29.0,6,11,4,10,1,Andalucía,Andalucía,Sevilla,Cádiz,No
74994,2019-08-28,2019,35,8,es,Sevilla,El Puerto de Santa María,39.0,8,14,3,14,0,Andalucía,Andalucía,Sevilla,Cádiz,No
80756,2019-08-28,2019,35,8,es,Sevilla,Marbella,26.0,3,10,3,10,2,Andalucía,Andalucía,Sevilla,Málaga,No
84131,2019-08-28,2019,35,8,es,Sevilla,San Fernando,25.0,3,8,3,8,0,Andalucía,Andalucía,Sevilla,Cádiz,No
101143,2019-08-28,2019,35,8,es,Sevilla,Málaga,108.0,45,49,22,47,2,Andalucía,Andalucía,Sevilla,Málaga,No
113089,2019-08-28,2019,35,8,es,Sevilla,Jaén,7.0,3,3,2,3,0,Andalucía,Andalucía,Sevilla,Jaén,No
125557,2019-08-28,2019,35,8,es,Sevilla,Córdoba,109.0,42,43,23,43,2,Andalucía,Andalucía,Sevilla,Córdoba,No
131302,2019-08-28,2019,35,8,es,Sevilla,Chiclana de la Frontera,19.0,4,8,3,7,1,Andalucía,Andalucía,Sevilla,Cádiz,No
133950,2019-08-28,2019,35,8,es,Sevilla,Vélez-Málaga,12.0,2,5,2,4,1,Andalucía,Andalucía,Sevilla,Málaga,No
135624,2019-08-28,2019,35,8,es,Sevilla,Antequera,13.0,1,7,1,7,0,Andalucía,Andalucía,Sevilla,Málaga,No
138031,2019-08-28,2019,35,8,es,Sevilla,Úbeda,4.0,1,2,1,2,0,Andalucía,Andalucía,Sevilla,Jaén,No
