,DIA,AÑO,SEMANA,MES,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL
577734,2017-10-12,2017,41,10,es,Puente Genil,Málaga,9.0,2,5,2,5,0,Andalucía,Andalucía,Córdoba,Málaga,No
657976,2017-10-12,2017,41,10,es,Puente Genil,Jaén,1.0,1,1,1,1,0,Andalucía,Andalucía,Córdoba,Jaén,No
682598,2017-10-12,2017,41,10,es,Puente Genil,Córdoba,14.0,1,6,1,6,0,Andalucía,Andalucía,Córdoba,Córdoba,Si
577735,2017-12-25,2017,52,12,es,Puente Genil,Málaga,12.0,3,4,2,4,0,Andalucía,Andalucía,Córdoba,Málaga,No
682600,2018-01-01,2018,1,1,es,Puente Genil,Córdoba,8.0,1,4,1,4,0,Andalucía,Andalucía,Córdoba,Córdoba,Si
874675,2018-01-01,2018,1,1,es,Puente Genil,Huelva,3.0,1,1,1,1,0,Andalucía,Andalucía,Córdoba,Huelva,No
682619,2018-01-06,2018,1,1,es,Puente Genil,Córdoba,9.0,1,3,1,3,0,Andalucía,Andalucía,Córdoba,Córdoba,Si
391458,2018-03-29,2018,13,3,es,Puente Genil,Sevilla,4.0,1,4,1,4,0,Andalucía,Andalucía,Córdoba,Sevilla,No
307568,2018-10-12,2018,41,10,es,Puente Genil,Granada,3.0,1,3,1,3,0,Andalucía,Andalucía,Córdoba,Granada,No
577783,2018-12-08,2018,49,12,es,Puente Genil,Málaga,3.0,3,1,1,1,0,Andalucía,Andalucía,Córdoba,Málaga,No
577816,2018-12-25,2018,52,12,es,Puente Genil,Málaga,13.0,6,4,2,4,0,Andalucía,Andalucía,Córdoba,Málaga,No
