,DIA,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,INTERPROVINCIAL
286748,28/08/2019,es,Algeciras,Granada,19.0,8,11,4,11,0,Andalucía,Andalucía,No
369219,28/08/2019,es,Algeciras,Sevilla,44.0,23,18,11,18,1,Andalucía,Andalucía,No
455593,28/08/2019,es,Algeciras,Jerez de la Frontera,27.0,7,12,5,12,3,Andalucía,Andalucía,Si
522130,28/08/2019,es,Algeciras,Marbella,47.0,1,23,1,21,1,Andalucía,Andalucía,No
552584,28/08/2019,es,Algeciras,San Fernando,4.0,2,2,1,2,0,Andalucía,Andalucía,Si
560824,28/08/2019,es,Algeciras,Málaga,90.0,15,38,9,35,3,Andalucía,Andalucía,No
651109,28/08/2019,es,Algeciras,Jaén,7.0,1,4,1,4,0,Andalucía,Andalucía,No
671930,28/08/2019,es,Algeciras,Córdoba,2.0,2,1,1,1,0,Andalucía,Andalucía,No
782710,28/08/2019,es,Algeciras,Almería,4.0,1,3,1,3,1,Andalucía,Andalucía,No
828376,28/08/2019,es,Algeciras,Cádiz,19.0,2,8,1,8,1,Andalucía,Andalucía,Si
859397,28/08/2019,es,Algeciras,Linares,1.0,1,1,1,1,0,Andalucía,Andalucía,No
877683,28/08/2019,es,Algeciras,Mijas,10.0,1,5,1,5,0,Andalucía,Andalucía,No
884911,28/08/2019,es,Algeciras,Puerto Real,10.0,1,5,1,5,1,Andalucía,Andalucía,Si
286088,01/11/2017,es,Algeciras,Granada,27.0,15,10,6,10,0,Andalucía,Andalucía,No
368554,01/11/2017,es,Algeciras,Sevilla,55.0,15,27,7,26,0,Andalucía,Andalucía,No
454935,01/11/2017,es,Algeciras,Jerez de la Frontera,21.0,2,11,2,11,0,Andalucía,Andalucía,Si
512264,01/11/2017,es,Algeciras,El Puerto de Santa María,10.0,1,5,1,5,0,Andalucía,Andalucía,No
560159,01/11/2017,es,Algeciras,Málaga,64.0,16,25,8,23,0,Andalucía,Andalucía,No
