,DIA,AÑO,SEMANA,MES,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL
2234,2019-09-01,2019,35,9,es,Tarancón,Albacete,8.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2167,2018-05-01,2018,18,5,es,Tarancón,Albacete,10.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2187,2018-12-06,2018,49,12,es,Tarancón,Albacete,6.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2190,2019-01-01,2019,1,1,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
19188,2018-02-16,2018,7,2,es,Tarancón,Motilla del Palancar,14.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Cuenca,Si
11498,2018-05-04,2018,18,5,es,Tarancón,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Ciudad Real,No
2198,2019-02-14,2019,7,2,es,Tarancón,Albacete,10.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
11498,2018-05-04,2018,18,5,es,Tarancón,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Ciudad Real,No
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2175,2018-09-07,2018,36,9,es,Tarancón,Albacete,27.0,1,14,1,12,3,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2159,2018-02-02,2018,5,2,es,Tarancón,Albacete,17.0,1,8,1,8,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
11498,2018-05-04,2018,18,5,es,Tarancón,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Ciudad Real,No
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
15487,2018-03-12,2018,11,3,es,Tarancón,Cuenca,6.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Cuenca,Si
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2213,2019-05-19,2019,20,5,es,Tarancón,Albacete,13.0,1,8,1,8,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2234,2019-09-01,2019,35,9,es,Tarancón,Albacete,8.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2167,2018-05-01,2018,18,5,es,Tarancón,Albacete,10.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2187,2018-12-06,2018,49,12,es,Tarancón,Albacete,6.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2190,2019-01-01,2019,1,1,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
19188,2018-02-16,2018,7,2,es,Tarancón,Motilla del Palancar,14.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Cuenca,Si
11498,2018-05-04,2018,18,5,es,Tarancón,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Ciudad Real,No
2198,2019-02-14,2019,7,2,es,Tarancón,Albacete,10.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
11498,2018-05-04,2018,18,5,es,Tarancón,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Ciudad Real,No
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2175,2018-09-07,2018,36,9,es,Tarancón,Albacete,27.0,1,14,1,12,3,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2159,2018-02-02,2018,5,2,es,Tarancón,Albacete,17.0,1,8,1,8,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
11498,2018-05-04,2018,18,5,es,Tarancón,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Ciudad Real,No
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
15487,2018-03-12,2018,11,3,es,Tarancón,Cuenca,6.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Cuenca,Si
2212,2019-05-15,2019,20,5,es,Tarancón,Albacete,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
2213,2019-05-19,2019,20,5,es,Tarancón,Albacete,13.0,1,8,1,8,0,Castilla-La Mancha,Castilla-La Mancha,Cuenca,Albacete,No
12781,2019-08-22,2019,34,8,es,Illescas,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
4004,2018-09-14,2018,37,9,es,Illescas,Albacete,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
2131,2019-09-01,2019,35,9,es,Talavera de la Reina,Albacete,4.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8530,2019-09-01,2019,35,9,es,Talavera de la Reina,Toledo,27.0,4,10,3,10,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
