,DIA,AÑO,SEMANA,MES,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL
713227,2019-09-01,2019,35,9,es,Valdepeñas,Toledo,4.0,2,2,2,2,1,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
628197,2017-10-12,2017,41,10,es,Valdepeñas,Albacete,9.0,3,9,2,9,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Albacete,No
713067,2017-10-12,2017,41,10,es,Valdepeñas,Toledo,35.0,7,19,5,19,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
760700,2017-10-12,2017,41,10,es,Valdepeñas,Alcázar de San Juan,13.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Ciudad Real,Si
628200,2018-01-01,2018,1,1,es,Valdepeñas,Albacete,24.0,1,9,1,8,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Albacete,No
713133,2018-01-06,2018,1,1,es,Valdepeñas,Toledo,18.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
737085,2018-03-30,2018,13,3,es,Valdepeñas,Tomelloso,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Ciudad Real,Si
713076,2018-05-01,2018,18,5,es,Valdepeñas,Toledo,14.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
713165,2018-08-15,2018,33,8,es,Valdepeñas,Toledo,15.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
628262,2018-10-12,2018,41,10,es,Valdepeñas,Albacete,7.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Albacete,No
713215,2018-10-12,2018,41,10,es,Valdepeñas,Toledo,14.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
713137,2018-12-06,2018,49,12,es,Valdepeñas,Toledo,9.0,2,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
628232,2018-12-08,2018,49,12,es,Valdepeñas,Albacete,3.0,2,2,2,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Albacete,No
713163,2018-12-08,2018,49,12,es,Valdepeñas,Toledo,10.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
713221,2018-12-25,2018,52,12,es,Valdepeñas,Toledo,33.0,2,13,1,13,3,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
713223,2019-01-01,2019,1,1,es,Valdepeñas,Toledo,25.0,3,9,1,9,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
713228,2019-11-01,2019,44,11,es,Valdepeñas,Toledo,10.0,2,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
713145,2018-06-25,2018,26,6,es,Valdepeñas,Toledo,9.0,2,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Toledo,No
