,DIA,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL,AÑO,SEMANA,MES
453525,2017-05-11,es,Albacete,Guadalajara,11.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2017,19,5
453526,2017-12-11,es,Albacete,Guadalajara,11.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2017,50,12
453527,2017-11-19,es,Albacete,Guadalajara,8.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2017,46,11
453528,2017-01-12,es,Albacete,Guadalajara,3.0,3,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2017,2,1
453529,2017-10-12,es,Albacete,Guadalajara,3.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2017,41,10
453530,2017-12-12,es,Albacete,Guadalajara,3.0,1,1,1,1,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2017,50,12
453531,2017-12-22,es,Albacete,Guadalajara,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2017,51,12
453532,2018-07-01,es,Albacete,Guadalajara,15.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,26,7
453533,2018-09-01,es,Albacete,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,35,9
453534,2018-12-01,es,Albacete,Guadalajara,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,48,12
453535,2018-01-15,es,Albacete,Guadalajara,10.0,2,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,3,1
453536,2018-01-28,es,Albacete,Guadalajara,5.0,4,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,4,1
453537,2018-04-02,es,Albacete,Guadalajara,16.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,14,4
453538,2018-05-02,es,Albacete,Guadalajara,5.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,18,5
