,Festivos,AÑO,SEMANA,MES,Municipio
0,2017-01-06,2017,1,1,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
1,2017-04-14,2017,15,4,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
2,2017-05-01,2017,18,5,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
3,2017-08-15,2017,33,8,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
4,2017-10-12,2017,41,10,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
5,2017-11-01,2017,44,11,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
6,2017-12-06,2017,49,12,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
7,2017-12-08,2017,49,12,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
8,2017-12-25,2017,52,12,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
9,2018-01-01,2018,1,1,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
10,2018-01-06,2018,1,1,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
11,2018-03-29,2018,13,3,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
12,2018-03-30,2018,13,3,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
13,2018-05-01,2018,18,5,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
14,2018-08-15,2018,33,8,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
15,2018-10-12,2018,41,10,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
16,2018-11-01,2018,44,11,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
17,2018-12-06,2018,49,12,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
18,2018-12-08,2018,49,12,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
